artist,song,text,Release Date,Tempo,Loudness (db),Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness,Good for Party,Good for Work/Study,Good for Relaxation/Meditation,Good for Running,Good for Driving,Good for Morning Routine,Good for Social Gatherings
Alan Walker,Faded,"[Verse 1] You were the shadow to my light Did you feel us? Another star, you fade away Afraid our aim is out of sight Wanna see us alight [Pre-Chorus 1] Where are you now? Where are you now? Where are you now? Was it all in my fantasy? Where are you now? Were you only imaginary? [Chorus] Where are you now? Atlantis, under the sea, under the sea Where are you now? Another dream The monster's running wild inside of me I'm faded, I'm faded So lost, I'm faded, I'm faded So lost, I'm faded [Verse 2] These shallow waters never met what I needed I'm letting go, a deeper dive Eternal silence of the sea I'm breathing, alive [Pre-Chorus 2] Where are you now? Where are you now? Under the bright but faded lights You set my heart on fire Where are you now? Where are you now? [Chorus] Where are you now? Atlantis, under the sea, under the sea Where are you now? Another dream The monster's running wild inside of me I'm faded, I'm faded So lost, I'm faded, I'm faded So lost, I'm faded",2018-12-14,0.8816568047,0.8170421512,47,63,3,0,11,5,0,0,0,0,0,0,0
Alan Walker,Alone Pt. II,"[Verse 1] We were young, posters on the wall Praying we're the ones that the teacher wouldn't call We would stare at each other 'Cause we were always in trouble And all the cool kids did their own thing I was on the outside always looking in Yeah, I was there but I wasn't They never really cared if I wasn't [Pre-Chorus] We all need that someone who gets you like no one else Right when you need it the most We all need a soul to rely on, a shoulder to cry on A friend through the highs and the lows [Chorus] I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone [Verse 2] Then I saw your face, your forgiving eyes Looking back at me from the other side Like you understood me And I'm never letting you go, oh [Pre-Chorus] We all need that someone who gets you like no one else Right when you need it the most We all need a soul to rely on, a shoulder to cry on A friend through the highs and the lows [Chorus] I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone [Post-Chorus] I'm not gonna make it alone (La, la-la-la-la-la, 'lone) I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone [Bridge] 'Cause you are that someone that gets me like no one else Right when I need it the most And I'll be the one you rely on, a shoulder to cry on A friend through the highs and the lows [Chorus] I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone ('Lone) I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone (No, woah) I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone (It alone, 'lone, 'lone) I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone (No, no, no, no) I'm not gonna make it alone",2018-12-14,0.8816568047,0.8170421512,47,63,3,0,11,5,0,0,0,0,0,0,0
Alan Walker,Alone,"[Verse 1: Noonie Bao] Lost in your mind I wanna know Am I losing my mind? Never let me go [Chorus: Noonie Bao] If this night is not forever At least we are together I know I'm not alone I know I'm not alone Anywhere, whenever Apart, but still together I know I'm not alone I know I'm not alone [Post-Chorus: Noonie Bao] I know I'm not alone I know I'm not alone [Verse 2: Noonie Bao] Unconscious mind I'm wide awake Wanna feel one last time Take my pain away [Chorus: Noonie Bao] If this night is not forever At least we are together I know I'm not alone I know I'm not alone Anywhere, whenever Apart, but still together I know I'm not alone I know I'm not alone [Post-Chorus: Noonie Bao] I know I'm not alone I know I'm not alone [Outro: Noonie Bao] I'm not alone, I'm not alone, I'm not alone I know I'm not alone I'm not alone, I'm not alone, I'm not alone I know I'm not alone",2018-12-14,0.3905325444,0.8375726744,67,91,23,0,19,5,0,0,0,0,0,0,0
Alan Walker,Sing Me to Sleep,"[Verse 1: Iselin Solheim] Wait a second, let me catch my breath Remind me how it feels to hear your voice Your lips are movin', I can't hear a thing Livin' life as if we had a choice Anywhere, anytime I would do anything for you Anything for you Yesterday got away Melodies stuck inside your head A song in every breath [Chorus: Iselin Solheim] Sing me to sleep now Sing me to sleep Won't you sing me to sleep now? Sing me to sleep [Breakdown] [Verse 2: Iselin Solheim] Remember me now, time cannot erase I can hear your whispers in my mind I've become what you cannot embrace Our memory will be my lullaby [Chorus: Iselin Solheim] Sing me to sleep now Sing me to sleep Oh, won't you sing me to sleep now? Sing me to sleep [Breakdown] [Outro: Iselin Solheim] A-anytime I would do do do do Time away Yesterday-day A-anytime I would do do do do Time away Yesterday-day-ay-ay-ay",2018-12-14,0.8579881657,0.7936046512,47,62,1,0,33,6,0,0,0,0,0,0,0
Alan Walker,The Spectre,"[Verse 1] Hello, hello, can you hear me as I scream your name? Hello, hello, do you need me before I fade away? [Chorus] Is this the place that I call home To find what I've become? Walk along the path unknown We live, we love, we lie Deep in the dark I don't need the light There's a ghost inside me It all belongs to the other side We live, we love, we lie (We live, we love, we lie) [Verse 2] Hello, hello, nice to meet you, voice inside my head Hello, hello, I believe you, how can I forget? [Chorus] Is this the place that I call home To find what I've become? Walk along the path unknown We live, we love, we lie Deep in the dark, I don't need the light There's a ghost inside me It all belongs to the other side We live, we love, we lie (We live, we love, we lie) We live, we love, we lie",2017-09-15,0.573964497,0.7743459302,65,71,2,0,9,4,1,0,0,0,0,0,0
Alan Walker,Lost Control,"[Verse 1: Sorana] Ummm, yea Mirrors they never lie Don't see myself inside Why can’t I get it right? I don’t know You're always watching me fall Shadows they like my wall Why do I feel so small? I don't know [Pre-Chorus: Sorana] So I walk into the dead of night Where my monsters like to hide Chaos feels so good inside Now I know [Chorus: Sorana] I've lost, I've lost I've lost control again Always do the same and not to blame I've lost control again I don't, I don't I don't know who I am Always do the same and not to blame I've lost control again Ooh [Verse 2: Sorana] Tired of being afraid But lately, I've lost my faith What is love without pain, it ain't home You're watching me but I'm below When I get caught I hope This is kinda like how they will Take me home [Pre-Chorus: Sorana] So I walk into the dead of night Where my monsters like to hide Chaos feels so good inside Now I know [Chorus: Sorana] I've lost, I've lost I've lost control again Always do the same and not to blame I've lost control again I don't, I don't I don't know who I am Always do the same and not to blame I've lost control again [Bridge: Sorana] I know that I'm a mess But I ain't trying to be the best Oh, whatever's coming next I better pray-ay-ay-ay Never said I was an angel I am damaged all the way So whatever's coming next I better pray-ay-ay-ay [Outro: Sorana] I've lost, I've lost I've lost control again Always do the same and not to blame I've lost control again I don't, I don't I don't know who I am Always do the same and not to blame I've lost control again",2018-12-14,0.8816568047,0.8170421512,47,63,3,0,11,5,0,0,0,0,0,0,0
Alan Walker,Different World,"[Verse 1: Sofia Carson] All we know Left untold Beaten by a broken dream Nothing like what it used to be (Used to be) [Pre-Chorus: Sofia Carson] We've been chasing our demons down an empty road Been watching our castle turning into dust Escaping our shadows just to end up here Once more And we both know [Chorus: Sofia Carson] This is not the world we had in mind But we got time We are stuck on answers we can't find But we got time And even though we might have lost tonight The skyline reminds us of a different time This is not the world we had in mind But we got time [Verse 2: Sofia Carson] Broken smile, tired eyes I can feel your longing heart Call my name, howling from afar [Pre-Chorus: Sofia Carson] We've been fighting our demons just to stay afloat Been building a castle just to watch it fall Been running forever just to end up here Once more And now we know [Chorus: Sofia Carson] This is not the world we had in mind But we got time We are stuck on answers we can't find But we got time And even though we might have lost tonight The skyline reminds us of a different time This is not the world we had in mind But we got time [Bridge: Sofia Carson] Take me back Back to the mountainside Under the Northern Lights Chasing the stars Take me back Back to the mountainside When we were full of life Back to the start And we both know that [Chorus: Sofia Carson] This is not the world we had in mind But we got time We are stuck on answers we can't find But we  got time And even though we might have lost tonight The skyline reminds us of a different time This is not the world we had in mind But we got time",2018-12-14,0.8816568047,0.8170421512,47,63,3,0,11,5,0,0,0,0,0,0,0
Alan Walker,Live Fast,"[Chorus: Kameron Alexander] Live fast for the moment Keep burning on both ends I gotta get out 'fore I die, out ’fore I die‚ get out 'fore I die Blacked out in the morning Too high‚ never cave in I gotta get out 'fore I die‚ out ’fore I die, get out 'fore I die [Verse 1: A$AP Rocky] Burning like a candle, both ends dripping spills loose Ends burn heads‚ burning end bridges Better use the stairs till your legs hurting Running for the hills, I'm on their heels, keep their heads turning Consider it a fair warning My partners steady moving like it's feds on us‚ uh-uh Probably 'cause you assuming that its meds on us, uh-uh Kick big shit I need leg warmers chug water all love Blood is thicker than the dreads on us (Whoa) Now I remember that when I'm in my bag It ain't where you from, it's where you’re at Where them niggas at? Time to toe tag, yeah, body bag, yeah Karate chop the shit in half till they find my match (Fight) Till they find me laying dead on my back This could be my last year Putting up a fight until I collapse 2013 I went wild for night In 2019 I’m getting out 'fore I die [Chorus: Kameron Alexander] Live fast for the moment Keep burning on both ends I gotta get out ’fore I die, out 'fore I die, get out 'fore I die Blacked out in the morning Too high, never cave in I gotta get out 'fore I die, out ’fore I die, get out 'fore I die [Refrain: Kameron Alexander] Oh, I gotta get out 'fore I die Oh, I gotta get out 'fore I die [Verse 2: A$AP Rocky] When you started from the bottom go top forward, yeah Name like saliva whole mouth full of it, yeah Chasing for the clout go all out for it Till they pull up with the toasters like a house warming, yeah I just need my piece please, like a Reese's butter cup Is you a punk or a power puff, huh? Toughen up Bunk my species time to feces Then repeat rock my CC Chanel Just popped a CC now I'm up When it's time for me Show me empathy When it ends for me Would you fend for me? When it's time for me Show me empathy When it ends for me Would you fend for me? [Chorus: Kameron Alexander] Live fast for the moment Keep burning on both ends I gotta get out 'fore I die, out 'fore I die, get out 'fore I die Blacked out in the morning Too high, never cave in I gotta get out 'fore I die, out 'fore I die, get out 'fore I die [Outro: Kameron Alexander] It ain't where you from, it's where you at Oh, I gotta get out 'fore I die",2018-12-14,0.8816568047,0.8170421512,47,63,3,0,11,5,0,0,0,0,0,0,0
Alan Walker,Heading Home,"[Verse 1] I was so insatiable 'Til the lights came on and the stories got old Now there's no one here, I know And the city outside's not the same anymore [Pre-Chorus 1] And I, I remember when we were young We'd write our names in the sand So carelessly Then the rain came and yours was gone And now mine it stands alone [Chorus] Nobody sees me, now I'm a one man show I'll do this on my own We knew it all then now this is all I know Guess I'm heading home now Guess I'm heading home now Guess I'm heading home now [Verse 2] When the music always played With the sound of our lives and the sweetest escape And the neighbors would complain We would turn it up louder, who cares anyway? [Pre-Chorus 2] 'Cause we, we remembered that we were young Our lives, were grains in the sand That we, made our castles and kingdoms of Now the waves have torn them down [Chorus] Nobody sees me, now I'm a one man show Guess I'm heading home now Guess I'm heading home now [Bridge] You’ll find me I’ll be here I can't see I can’t breathe, anymore But how could we have stayed? You were high on love, I was drunk Drunk on the pain Guess I'm heading, I'm heading, I'm heading I'm heading home Guess I'm heading home now",2018-12-14,0.8816568047,0.8170421512,47,63,3,0,11,5,0,0,0,0,0,0,0
Alan Walker,I Dont Wanna Go,"[Verse 1: Julie Bergan] So here we are Like we were Two feet apart In different worlds No need to say Another word Know I should leave But I don’t wanna go just yet 'Cause I'm not really over it [Chorus: Julie Bergan] You remind my heart Of a lie I wish you never told But it's all I've got Just five more minutes and I'll go Same old song like an echo, ooh 'Cause I know I'm better off alone It is my pride and I really know I shouldn't stay but I don't wanna go [Instrumental Break] [Verse 2: Julie Bergan] Now that I know the way it ends The words we chose, irrelevant Let's just pretend a little bit I know I should leave but I don't wanna go just yet 'Cause I'm not really over it [Chorus: Julie Bergan] You remind my heart (You remind my heart) Of a lie I wish you never told But it's all I've got (All I've got) Just five more minutes and I'll go (Five more minutes and I'll go) Same old song like an echo, ooh 'Cause I know I'm better off alone (Better off alone) It is my pride and I really know I shouldn't stay but I don't wanna go (Ooh, ooh) [Outro: Julie Bergan] Just five more minutes and I'll go (Five more minutes and I'll go) (Ooh, ooh, ooh) Shouldn't stay but I don't wanna go Same old song like an echo (Ooh, ooh, ooh) (I'm better off alone) It is my pride and I really know I shouldn't stay but I don't wanna go",2018-12-14,0.8816568047,0.8170421512,47,63,3,0,11,5,0,0,0,0,0,0,0
